evidence_stage,reporting_role,cohort,cohort_n,adapter_scope,seed,row_type,macro_f1,macro_f1_sample_std,accuracy,balanced_accuracy,min_class_recall,oder_descriptive,oder_sample_std,decision_rule,reporting_status,terminal_receipt_sha256
official_internal_test,正式 Internal-test（医生最终确认）,physician_reviewed_internal_test_v3,12219,tail8,17,seed,0.5542012507019569,,0.6363859562975693,0.5454373892283683,0.4818698121450415,0.010475488992552582,,Macro-F1-only；ODER描述,PASS_MACRO_F1_ONLY,32c59e49dad3028841976d86a7a879868035cbc1252a1cb8db66e386319423e9
official_internal_test,正式 Internal-test（医生最终确认）,physician_reviewed_internal_test_v3,12219,tail8,28,seed,0.5576798931735671,,0.6388411490301988,0.5519234918659204,0.47881170816950636,0.00998445044602668,,Macro-F1-only；ODER描述,PASS_MACRO_F1_ONLY,32c59e49dad3028841976d86a7a879868035cbc1252a1cb8db66e386319423e9
official_internal_test,正式 Internal-test（医生最终确认）,physician_reviewed_internal_test_v3,12219,tail8,43,seed,0.5566828888102636,,0.6380227514526557,0.5485399553878192,0.48043108338060125,0.009002373352974876,,Macro-F1-only；ODER描述,PASS_MACRO_F1_ONLY,32c59e49dad3028841976d86a7a879868035cbc1252a1cb8db66e386319423e9
official_internal_test,正式 Internal-test（医生最终确认）,physician_reviewed_internal_test_v3,12219,tail8,mean,aggregate,0.5561880108952626,0.0017913448786845809,,,,0.009820770930518046,0.0007500737695320134,Macro-F1-only；ODER描述,PASS_ALL_THREE_SEEDS,32c59e49dad3028841976d86a7a879868035cbc1252a1cb8db66e386319423e9
official_internal_test,正式范围对照,physician_reviewed_internal_test_v3,12219,tail4,17,seed,0.5472002474291792,,0.6342581225959572,0.5397045881261285,0.45915246832678025,0.013749079302725264,,对照；ODER描述,CONTROL,32c59e49dad3028841976d86a7a879868035cbc1252a1cb8db66e386319423e9
official_internal_test,正式范围对照,physician_reviewed_internal_test_v3,12219,tail4,28,seed,0.5431912430003791,,0.6328668467141337,0.5394426975722331,0.46625070901871807,0.011948604632130289,,对照；ODER描述,CONTROL,32c59e49dad3028841976d86a7a879868035cbc1252a1cb8db66e386319423e9
official_internal_test,正式范围对照,physician_reviewed_internal_test_v3,12219,tail4,43,seed,0.5447037269982581,,0.6297569359194697,0.5406026399503909,0.4634146341463415,0.013749079302725264,,对照；ODER描述,CONTROL,32c59e49dad3028841976d86a7a879868035cbc1252a1cb8db66e386319423e9
official_internal_test,正式范围对照,physician_reviewed_internal_test_v3,12219,tail4,mean,aggregate,0.5450317391426055,0.0020245303412554957,,,,0.013148921079193606,0.0010395045357371117,对照；ODER描述,CONTROL_AGGREGATE,32c59e49dad3028841976d86a7a879868035cbc1252a1cb8db66e386319423e9
one_time_gold,正式最终评估,physician_cleaned_gold,175,tail8,17,seed,0.5399808886765408,,0.5371428571428571,0.5321896552796384,,0.05142857142857143,,三Seed均值Macro-F1-only；ODER描述,OBSERVED,ba7885b290192b4f3917d317f220b37faa8033309db40dcec28576f67e076297
one_time_gold,正式最终评估,physician_cleaned_gold,175,tail8,28,seed,0.5694068472731943,,0.56,0.5570980801880632,,0.04,,三Seed均值Macro-F1-only；ODER描述,OBSERVED,ba7885b290192b4f3917d317f220b37faa8033309db40dcec28576f67e076297
one_time_gold,正式最终评估,physician_cleaned_gold,175,tail8,43,seed,0.5367374591255187,,0.5257142857142857,0.5282113472266274,,0.045714285714285714,,三Seed均值Macro-F1-only；ODER描述,OBSERVED,ba7885b290192b4f3917d317f220b37faa8033309db40dcec28576f67e076297
one_time_gold,正式最终评估,physician_cleaned_gold,175,tail8,mean,aggregate,0.548708398358418,0.017998591595492035,,,,0.045714285714285714,0.005714285714285713,三Seed均值Macro-F1-only；ODER描述,PASS_MEAN_MACRO_F1_ONLY,ba7885b290192b4f3917d317f220b37faa8033309db40dcec28576f67e076297
pre_review_baseline,非正式：医生复核前数据质量基线,internal_test_before_physician_review,13219,tail8,17,seed,0.4984413761915764,,0.5882441939632347,0.4915885228499534,0.41621621621621624,0.0323776382479764,,仅历史记录,NOT_OFFICIAL,7e7940252f7549eb0ae5320621489f3069fcb52faf72c974ba935c135a14a5d6
pre_review_baseline,非正式：医生复核前数据质量基线,internal_test_before_physician_review,13219,tail8,28,seed,0.5022251707385668,,0.5905136545880929,0.497168328375085,0.4191204588910134,0.03131855662304259,,仅历史记录,NOT_OFFICIAL,7e7940252f7549eb0ae5320621489f3069fcb52faf72c974ba935c135a14a5d6
pre_review_baseline,非正式：医生复核前数据质量基线,internal_test_before_physician_review,13219,tail8,43,seed,0.500846528139024,,0.5897571677131401,0.49424294619364567,0.4226546906187625,0.03086466449807096,,仅历史记录,NOT_OFFICIAL,7e7940252f7549eb0ae5320621489f3069fcb52faf72c974ba935c135a14a5d6
pre_review_baseline,非正式：医生复核前数据质量基线,internal_test_before_physician_review,13219,tail8,mean,aggregate,0.5005043583563891,0.0019149635541100508,,,,0.03152028645636332,0.0007763978272860096,仅历史记录,NOT_OFFICIAL,7e7940252f7549eb0ae5320621489f3069fcb52faf72c974ba935c135a14a5d6
pre_review_baseline,非正式：医生复核前数据质量基线,internal_test_before_physician_review,13219,tail4,17,seed,0.4960702873934422,,0.5894545729631591,0.48952471035085987,0.40573613766730404,0.03275588168545276,,仅历史记录,NOT_OFFICIAL_CONTROL,7e7940252f7549eb0ae5320621489f3069fcb52faf72c974ba935c135a14a5d6
pre_review_baseline,非正式：医生复核前数据质量基线,internal_test_before_physician_review,13219,tail4,28,seed,0.49374237779940877,,0.5888493834631969,0.490617527817187,0.41367265469061876,0.031167259248052047,,仅历史记录,NOT_OFFICIAL_CONTROL,7e7940252f7549eb0ae5320621489f3069fcb52faf72c974ba935c135a14a5d6
pre_review_baseline,非正式：医生复核前数据质量基线,internal_test_before_physician_review,13219,tail4,43,seed,0.4954164802995442,,0.585823435963386,0.4909285253900066,0.4096806387225549,0.03275588168545276,,仅历史记录,NOT_OFFICIAL_CONTROL,7e7940252f7549eb0ae5320621489f3069fcb52faf72c974ba935c135a14a5d6
pre_review_baseline,非正式：医生复核前数据质量基线,internal_test_before_physician_review,13219,tail4,mean,aggregate,0.4950763818307984,0.001200641909909312,,,,0.032226340872985856,0.0009171915918739798,仅历史记录,NOT_OFFICIAL_CONTROL,7e7940252f7549eb0ae5320621489f3069fcb52faf72c974ba935c135a14a5d6
