adapter_scope,seed,row_type,macro_f1,macro_f1_sample_std,oder,oder_sample_std,trainable_parameters,wall_clock_seconds,wall_clock_hours,peak_gpu_memory_mib,peak_gpu_memory_status,cache_entry_block,checkpoint_sha256,effective_config_sha256,training_receipt_sha256,aggregate_receipt_sha256
tail4,17,seed,0.541813906562499,,0.003571109722346219,,16399630,4449.289337,1.2359137047222222,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,8,6a097fe2eb001a2f8d1ee6dcef8f29bc17fc7342a2a68dfa70c0d74de2efe0df,a927923c10042d76b357a6ce448fbffe4b472444155e7cb1719d1a7f7db21ff1,0d8645e7c51e4c34e0831c59107db6d69c78a0e148b127e8d6b9063d26c7f1c6,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail4,28,seed,0.543454750661478,,0.0047317203821087405,,16399630,3474.419258,0.9651164605555556,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,8,7a8d893bd57aff1b075a43486f333283ae1ba81ef3c13460d8982f6586c7dfd2,595bf7bcd7da2f6277ae97ae9fa2626e7a31021136adb8131edd6e4166436d28,22e50956442cae74bc256855e1dfddd09ebbb16f392ddd5475c864a31dd26fd9,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail4,43,seed,0.5420727590146667,,0.003928220694580841,,16399630,4452.729199,1.2368692219444446,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,8,a25e5fb1ba03a03a30af84840da659fa1946683f890eee2308c630db61a1df76,73547b641f23e4f6fe82a7a76ba95e2ae9568c3169062f90b034a20ad606e59d,2c72391153cd2bfbb7ef1d0515461ecec4c9407aa08e88972d22d8b618ae9b3d,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail6,17,seed,0.5452085553463556,,0.00374966520846353,,16501008,7188.518999,1.9968108330555556,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,4,f11dbbe26fcb29a3b531f70f065813a232c1723e3a585170ac6a222ce05f4485,7b4b0acea18dd30e8c611fc92d576d6788f8de16f2cb72150f8226a59b50805e,dd7b4d6621f70f947aca102c3101bbdbe1ae2b3e5ac4b417227a91b85508a7d2,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail6,28,seed,0.5475287322146956,,0.00374966520846353,,16501008,7175.693298,1.9932481383333334,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,4,b9ffb28d1c3fafe57e8cc525f14ec90b426d3e3adb775f9968d89e432f2e1f2f,94b010308286f8b340dfd41380f4ca9904e902d195eb18584938ef869c8fb243,6e7ff4a20865e2618804889a3922963d7e462c75ef9a7b5dbe0db360268bd55e,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail6,43,seed,0.5431192385315183,,0.003571109722346219,,16501008,6414.141364,1.7817059344444444,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,4,4da56fc3cff87a49e0236aff1749ffff7cd2df5b9a429d154c3f207458292ce6,aa59fabe44baf817807c6d005b26dcca22d247c32aebad37373dc58150249d56,3516def24dabaf37830cef5552eb6e690267f4e931c8b37d41124d1512992268,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail8,17,seed,0.5489199288856293,,0.003303276493170253,,16602386,7832.879848,2.1757999577777776,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,4,3cc886488f533d2b9bb6f8102cc5bdb200bcbae0ee6d381501824c3321d8b67c,43c94c301009c2577782a2b068c44a4a57f643461a8af57ac236c8f0fa5adaae,bf614f50a2dbc78e4ef69819205814bf7e63d9bee8ea459b9549fb03bc8f9175,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail8,28,seed,0.5490341517666544,,0.003303276493170253,,16602386,7008.050297,1.9466806380555555,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,4,a771b07e7ced97dda4e6cb9f9ecf0a8b2054b6f78726cfaf16b730c1d8d79bb5,b83c2e8b9160029264889996d97a69d7cdbb55decb818dfa2ac3a7fb95a249e5,3d4b6da4055e71bd072fe6a1facd3a6fd1b0cde284d3127cbf728770ef8b8274,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail8,43,seed,0.5464585750581572,,0.003303276493170253,,16602386,6968.697182,1.9357492172222222,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,4,d4f0666743f749b95b6f78a57bfcdfdfd015063d51d50ee9c9e6ac65d258fd77,db310ef9df5666ff84443bc1241bf12a13f02b6d4c48ea368d81d04b7a06bcea,984687e1f648f074718dd58791c5727de423f6f07430760b00592ce4efb84b40,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail4,mean,aggregate,0.5424471387462145,0.0008821635204620253,0.0040770169330119335,0.0005944405069618243,16399630,4125.4792646666665,1.1459664624074073,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,8,,,,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail6,mean,aggregate,0.5452855086975231,0.002205753839209375,0.003690146713091093,0.0001030890579751139,16501008,6926.117887,1.923921635277778,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,4,,,,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
tail8,mean,aggregate,0.5481375519034803,0.0014551577756332,0.003303276493170253,0,16602386,7269.875775666666,2.019409937685185,,NOT_RECORDED_HISTORICALLY_UNRECOVERABLE,4,,,,606e10c0168bd662fee07999f40e8d9c32134d039c049a5b992fea626d6f221d
